personId,name,dynastyId,eventCount,firstEventYear,lastEventYear,sampleEvents
8,秦始皇,6,2,-221,-213,-221 秦始皇统一六国 | -213 焚书坑儒
39,孙中山,17,2,1911,1912,1911 辛亥革命 | 1912 中华民国成立
23,安禄山,12,1,755,755,755 安史之乱
17,曹操,8,1,208,208,208 赤壁之战
40,陈独秀,17,1,1919,1919,1919 五四运动
9,陈胜,6,1,-209,-209,-209 陈胜吴广起义
27,成吉思汗,14,1,1206,1206,1206 成吉思汗统一蒙古
6,楚庄王,4,1,-770,-770,-770 春秋五霸
1,大禹,1,1,-2070,-2070,-2070 大禹治水
44,邓小平,18,1,1978,1978,1978 改革开放
13,汉武帝,7,1,-140,-140,-140 汉武帝开疆拓土
15,霍去病,7,1,-140,-140,-140 汉武帝开疆拓土
41,蒋介石,17,1,1937,1937,1937 全面抗战爆发
5,晋文公,4,1,-770,-770,-770 春秋五霸
38,李鸿章,16,1,1894,1894,1894 甲午中日战争
29,林则徐,16,1,1840,1840,1840 鸦片战争
11,刘邦,7,1,-206,-206,-206 楚汉之争
18,刘备,8,1,208,208,208 赤壁之战
42,毛泽东,18,1,1949,1949,1949 中华人民共和国成立
45,彭德怀,18,1,1950,1950,1950 抗美援朝
4,齐桓公,4,1,-770,-770,-770 春秋五霸
2,商汤,2,1,-1600,-1600,-1600 商汤灭夏
7,商鞅,5,1,-356,-356,-356 商鞅变法
24,史思明,12,1,755,755,755 安史之乱
25,宋太祖,13,1,960,960,960 宋太祖建立宋朝
21,隋炀帝,11,1,605,605,605 隋炀帝开凿大运河
19,孙权,8,1,208,208,208 赤壁之战
22,唐太宗,12,1,627,627,627 唐太宗贞观之治
26,王安石,13,1,1069,1069,1069 王安石变法
14,卫青,7,1,-140,-140,-140 汉武帝开疆拓土
10,吴广,6,1,-209,-209,-209 陈胜吴广起义
12,项羽,7,1,-206,-206,-206 楚汉之争
16,张骞,7,1,-138,-138,-138 张骞出使西域
28,郑和,15,1,1405,1405,1405 郑和下西洋
43,周恩来,18,1,1949,1949,1949 中华人民共和国成立
3,周武王,3,1,-1046,-1046,-1046 武王伐纣
20,诸葛亮,8,1,208,208,208 赤壁之战
